timestamp,model,symbol,pred,win,stake,pnl,units,risked,paper
2026-09-07T04:15:00+00:00,quarterhour,ETHUSDT,1,1,0.00,0.00,0.000000,0.000000,0
2026-09-07T05:00:00+00:00,hourly,ETHUSDT,1,1,18.12,13.82,0.381347,0.500000,0
2026-09-07T13:00:00+00:00,quarterhour,ETHUSDT,-1,0,28.00,-28.00,-0.178843,0.178843,0
2026-09-07T21:30:00+00:00,quarterhour,ETHUSDT,1,1,28.35,25.49,0.160811,0.178854,0
2026-09-07T22:45:00+00:00,quarterhour,ETHUSDT,1,1,28.00,25.84,0.165057,0.178854,0
2026-09-07T23:00:00+00:00,hourly,ETHUSDT,1,1,56.41,45.40,0.402411,0.500000,0
2026-09-07T23:00:00+00:00,quarterhour,ETHUSDT,1,1,28.00,25.84,0.165057,0.178854,0
2026-09-08T03:00:00+00:00,hourly,ETHUSDT,1,1,61.38,54.98,0.447866,0.500000,0
2026-09-08T03:30:00+00:00,quarterhour,BTCUSDT,1,1,0.00,0.00,0.000000,0.000000,0
2026-09-08T04:15:00+00:00,quarterhour,ETHUSDT,1,0,40.57,-40.57,-0.178854,0.178854,0
2026-09-08T05:00:00+00:00,quarterhour,ETHUSDT,1,0,41.91,-41.91,-0.178854,0.178854,0
2026-09-08T05:00:00+00:00,quarterhour,BTCUSDT,1,1,40.55,35.95,0.634260,0.715417,0
2026-09-08T06:00:00+00:00,quarterhour,ETHUSDT,1,1,40.55,37.43,0.165093,0.178854,0
2026-09-08T06:00:00+00:00,quarterhour,BTCUSDT,1,0,41.88,-41.88,-0.715417,0.715417,0
2026-09-08T06:15:00+00:00,quarterhour,BTCUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-08T06:30:00+00:00,quarterhour,BTCUSDT,1,1,40.54,35.95,0.634358,0.715351,0
2026-09-08T06:45:00+00:00,quarterhour,BTCUSDT,1,0,40.54,-40.54,-0.715365,0.715365,0
2026-09-08T07:00:00+00:00,quarterhour,BTCUSDT,1,1,40.55,35.95,0.634260,0.715417,0
2026-09-08T13:45:00+00:00,quarterhour,BTCUSDT,1,1,40.55,35.95,0.634260,0.715417,0
2026-09-08T15:15:00+00:00,quarterhour,BTCUSDT,-1,1,40.71,36.10,0.634403,0.715417,0
2026-09-08T15:45:00+00:00,quarterhour,BTCUSDT,-1,0,41.06,-41.06,-0.715277,0.715277,0
2026-09-08T16:00:00+00:00,quarterhour,BTCUSDT,-1,1,41.06,36.42,0.634489,0.715324,0
2026-09-08T22:00:00+00:00,quarterhour,ETHUSDT,1,1,41.07,37.91,0.165086,0.178847,0
2026-09-08T22:15:00+00:00,quarterhour,ETHUSDT,1,1,41.66,37.32,0.160222,0.178854,0
2026-09-08T23:00:00+00:00,quarterhour,ETHUSDT,-1,1,18.29,15.88,0.066040,0.076062,0
2026-09-09T00:15:00+00:00,quarterhour,ETHUSDT,-1,1,0.00,0.00,0.000000,0.000000,0
2026-09-09T01:00:00+00:00,hourly,ETHUSDT,-1,0,66.10,-66.10,-0.500000,0.500000,0
2026-09-09T01:15:00+00:00,quarterhour,ETHUSDT,-1,1,41.94,38.71,0.165080,0.178854,0
2026-09-09T05:00:00+00:00,quarterhour,BTCUSDT,-1,0,0.00,0.00,0.000000,0.000000,0
2026-09-09T05:00:00+00:00,hourly,ETHUSDT,-1,1,49.63,42.71,0.430284,0.500000,0
2026-09-09T07:15:00+00:00,quarterhour,ETHUSDT,-1,0,0.00,0.00,0.000000,0.000000,0
2026-09-09T08:15:00+00:00,quarterhour,ETHUSDT,-1,0,0.00,0.00,0.000000,0.000000,0
2026-09-09T13:00:00+00:00,quarterhour,ETHUSDT,-1,0,0.00,0.00,0.000000,0.000000,0
2026-09-09T13:30:00+00:00,quarterhour,ETHUSDT,-1,1,0.00,0.00,0.000000,0.000000,0
2026-09-09T19:45:00+00:00,quarterhour,ETHUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-09T20:00:00+00:00,hourly,ETHUSDT,1,1,51.47,40.87,0.397027,0.500000,0
2026-09-09T20:00:00+00:00,quarterhour,ETHUSDT,1,1,0.00,0.00,0.000000,0.000000,0
2026-09-09T20:00:00+00:00,hourly,BTCUSDT,1,1,104.78,79.91,0.762646,1.000000,0
2026-09-09T21:15:00+00:00,quarterhour,ETHUSDT,1,1,18.43,16.51,0.160222,0.178854,0
2026-09-09T21:30:00+00:00,quarterhour,ETHUSDT,1,0,18.50,-18.50,-0.178854,0.178854,0
2026-09-09T21:45:00+00:00,quarterhour,ETHUSDT,1,0,21.03,-21.03,-0.178854,0.178854,0
2026-09-09T22:00:00+00:00,quarterhour,ETHUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-09T22:15:00+00:00,quarterhour,ETHUSDT,1,1,0.00,0.00,0.000000,0.000000,0
2026-09-09T22:30:00+00:00,quarterhour,ETHUSDT,1,1,0.00,0.00,0.000000,0.000000,0
2026-09-09T22:45:00+00:00,quarterhour,ETHUSDT,1,0,21.10,-21.10,-0.178854,0.178854,0
2026-09-09T23:00:00+00:00,quarterhour,ETHUSDT,1,1,21.10,18.90,0.160206,0.178854,0
